Product ID,Store ID,Price,Predicted Sales
9858,90,15.99,261.80684728950445
8468,87,18.19,261.4906350931256
6895,97,30.92,260.6954201692836
8338,94,14.57,260.5259985414589
9846,74,45.58,260.47969976931097
9856,90,25.29,260.3304009399153
9074,76,72.89,260.29511001098234
8517,37,36.61,260.20298346683126
9333,27,32.98,260.0639723743181
8279,33,18.04,260.0430668299499
9871,43,22.81,259.9922942384221
8868,61,59.09,259.946288344129
9179,94,10.87,259.8191428890163
9915,52,51.74,259.8115636386249
9767,55,92.5,259.74151373575074
9046,82,35.08,259.69325091527844
5558,89,29.39,259.5519231452861
9350,79,9.48,259.48969811438224
9174,42,53.26,259.48888067937605
9941,86,16.56,259.4490738352564
8690,17,33.5,259.4402284702603
9353,56,5.76,259.3626122632273
9120,88,31.35,259.1776215204554
9901,93,9.26,259.0028195828619
8349,86,31.75,259.0011538529823
7962,82,10.0,258.91628274860494
8915,96,43.61,258.89793900892334
8942,74,65.94,258.89494534253953
8778,29,57.1,258.8913945461489
8042,93,33.2,258.71961777153626
7522,61,15.43,258.6888823552119
9083,56,6.39,258.6506231741966
9091,47,30.04,258.4351601493255
9596,63,13.27,258.40790012043453
5703,31,7.28,258.3705832230553
8765,88,29.47,258.3633884413021
8573,78,26.8,258.31688224273034
6962,79,66.32,258.30544210142097
8117,98,65.58,258.2862245911175
8424,69,27.93,258.27692037573104
8566,68,13.74,258.27095128316574
9975,77,12.52,258.2537110115424
9001,79,21.48,258.2494495704839
7874,61,24.83,258.2282785369735
8701,78,84.19,258.22202369227495
9436,61,20.43,258.1524366420299
8033,57,52.05,258.0455095766966
8778,50,64.84,258.03424021357534
9620,95,50.98,258.0150042861737
9501,89,33.36,257.91047936584897
9300,66,5.31,257.90347499344267
9018,55,30.13,257.8779401452149
9839,44,32.67,257.86292954669045
7874,23,29.23,257.83818204245574
9633,45,57.0,257.8122913646313
9579,97,16.02,257.80153648136525
9660,76,32.16,257.79344267911796
8680,40,44.34,257.76418892315166
8690,14,7.77,257.75958310322187
9074,99,89.93,257.7579970030291
9907,31,91.7,257.75714508182375
8878,99,46.72,257.7556551672163
7529,1,53.44,257.7535337341676
5580,8,43.83,257.75244931593716
5586,78,20.46,257.7173313531144
7997,63,25.54,257.7119180559333
9699,23,94.31,257.70579444073593
9343,59,25.7,257.65187134877414
9646,92,58.62,257.64202377925074
8378,38,38.95,257.637425483035
8768,79,80.69,257.62487960547224
8875,92,59.41,257.62294040500154
9629,29,28.74,257.6190932236017
6808,47,20.72,257.5330395644261
9576,75,85.87,257.4886992468324
4774,48,7.12,257.4769963871131
9352,77,91.33,257.4675157400653
6867,31,11.68,257.4464765075642
9770,91,55.38,257.4336757753285
7598,47,15.4,257.4138395270407
8462,75,39.63,257.3806466361303
7332,78,7.13,257.37684456877395
7786,87,31.01,257.37437366735435
7645,47,14.66,257.3704601987589
6851,72,48.41,257.3547613234193
8748,33,80.78,257.3351728377235
7539,87,13.08,257.3334512455505
4859,96,47.26,257.3334418750118
8115,76,14.64,257.3252075467378
5855,95,81.97,257.3214364154856
9646,18,51.44,257.32085849662036
9524,81,9.29,257.31662512473616
9296,57,62.47,257.3103675893204
9349,82,54.32,257.2947078774778
7309,38,5.48,257.25404903210216
8735,70,34.46,257.25314888191747
3034,45,25.59,257.2168847173447
9032,68,58.29,257.17979963108104
7821,42,45.74,257.1662609512652
8434,27,17.89,257.1626094447813
6281,89,57.71,257.15127368230964
7888,63,31.28,257.14896990000193
9178,57,39.38,257.1456170191109
5233,58,23.5,257.1229855054778
9757,46,86.29,257.10683491103225
9507,53,27.34,257.09077740834755
6248,73,8.55,257.0895134747786
7681,72,41.12,257.0780251931418
7293,33,40.16,257.0636617664215
8998,70,9.5,257.0468876879185
7616,87,75.23,257.03966948312836
5406,90,10.22,257.01663775192327
9494,75,39.32,257.01558899301
8871,77,5.64,256.9865831002288
9648,83,52.19,256.98403457205995
7279,43,98.75,256.96992218121306
8704,92,96.44,256.9680592730037
7041,99,33.48,256.96453327097197
4715,80,45.1,256.94711148903207
2975,91,75.95,256.93968641409515
8638,95,77.73,256.88706536529537
7780,54,86.13,256.87553921885404
9299,70,11.97,256.8654239320593
6010,85,22.2,256.860535938481
4889,78,12.74,256.84264408498296
3691,66,11.03,256.82017863330407
8171,76,16.25,256.8090247227758
6191,68,9.66,256.8079757336202
7153,72,38.95,256.805586678978
7670,9,20.54,256.802267262784
8543,46,76.12,256.78405573952864
9077,58,43.36,256.75227484436795
9532,19,16.38,256.7462435952036
9924,59,9.97,256.73954940903536
7629,78,56.24,256.7197968332327
9127,74,49.96,256.70741863884575
8660,39,28.13,256.69856602873676
8497,93,30.92,256.69242164119396
9863,45,48.98,256.6692166964546
7496,57,42.06,256.6606430790475
7751,97,49.93,256.6553157449641
8802,55,57.02,256.6472299217705
6803,87,24.64,256.6427426965222
2747,88,59.23,256.6279780122125
